network,autonomous_system_number,autonomous_system_organization
2804:330:3000::/36,53240,"Net Onze Provedor de Acesso a Internet Eireli"
2804:334::/32,53242,"NOGUEIRA & DANTAS LTDA"
2804:338::/32,262730,"Byteweb Comunicacao Multimidia Ltda."
2804:33c::/32,53137,"TCA Internet"
2804:340::/32,28165,"Wireless Comm Services LTDA"
2804:344::/32,262871,"DNBR TELECOMUNICACOES - EIRELI"
2804:348::/32,28133,"Provedor Eloinet Ltda"
2804:354::/32,28238,"Sator Engenharia Ltda."
2804:358::/32,53246,"Cyber Info Provedor de Acesso LTDA ME"
2804:360::/32,53088,"FORNET COMUNICACOES LTDA"
2804:364::/32,262877,"MIRAGENET TELECOMUNICACOES LTDA"
2804:368::/32,22381,"Megatelecom Telecomunicacoes Ltda"
2804:370::/32,262881,"Virtual Ariki Tecnologia"
2804:374::/32,262844,"Turbonet Provedor Ltda"
2804:378::/32,28283,"Adylnet Telecom"
2804:37c::/32,52981,"Conecta Tecnologia LTDA"
2804:380::/32,262890,"SARTORI TECNOLOGIA DA INFORMACAO LTDA ME"
2804:388::/30,22085,"Claro S/A"
2804:390::/36,52956,"Speed Travel Comunicacao Multimidia Ltda - ME"
2804:390:2000::/35,52956,"Speed Travel Comunicacao Multimidia Ltda - ME"
2804:394::/32,262895,"Norte Line Telecomunicacoes Ltda."
2804:39c:1000::/36,28329,"G8 NETWORKS LTDA"
2804:39c:2000::/35,28329,"G8 NETWORKS LTDA"
2804:39c:4000::/36,28329,"G8 NETWORKS LTDA"
2804:39c:5000::/40,28329,"G8 NETWORKS LTDA"
2804:39c:6000::/35,28329,"G8 NETWORKS LTDA"
2804:39c:8000::/35,28329,"G8 NETWORKS LTDA"
2804:3a0::/32,52960,"EDILSON SANTOS SILVA SOBRINHO - ME"
2804:3a4::/32,262900,"ASAS SOLUCOES DE TELECOMUNICACOES LTDA"
2804:3a8::/32,53195,"LOGTEL TELECOMUNICACOES E INFORMATICA LTDA ME"
2804:3b0::/32,53062,"GGNET TELECOMUNICACOES LTDA"
2804:3b8::/32,52965,"1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA"
2804:3bc::/32,28624,"PROVEDORA CMA INTERNET LTDA"
2804:3c8::/32,262908,"D. A. Comercio e Servicos de Informatica Ltda"
2804:3d0::/32,262400,"Virtualis Provedor de Telecomunicacoes Eireli"
2804:3d4::/32,262401,"GSTN DO BRASIL LTDA"
2804:3d8::/32,262402,"ZAP BL TELECOMUNICACOES LTDA"
2804:3dc::/32,52967,"NT Brasil Tecnologia Ltda. ME"
2804:3e0::/32,262403,"Net Way Telecom LTDA ME"
2804:3e4::/32,262404,"JC TELECOM SERVICOS DE TELECOMUNICACOES LTDA EPP"
2804:3e8::/32,28663,"FLYS INTERATIVA LTDA"
2804:3ec::/32,61570,"ENTERIW PROVEDOR DE INTERNET LTDA"
2804:3f4::/32,262407,"RAPIDANET TELECOM LTDA"
2804:3f8::/32,262589,"INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A"
2804:3fc::/32,28266,"Vante Provedor de Internet Ltda"
2804:400::/32,262409,"CONNECTI SERVICOS DE COMUNICACAO EIRELI"
2804:414::/32,262760,"76 TELECOMUNICACAO LTDA"
2804:41c::/32,262416,"KASPER, GOBBI E SOARES LTDA"
2804:428::/32,28218,"Tv Cabo de Presidente Venceslau S/S Ltda. EPP"
2804:431:8000::/36,27699,"TELEFONICA BRASIL S.A"
2804:431:9000::/37,27699,"TELEFONICA BRASIL S.A"
2804:431:a000::/36,27699,"TELEFONICA BRASIL S.A"
2804:431:b000::/37,27699,"TELEFONICA BRASIL S.A"
2804:431:c000::/36,27699,"TELEFONICA BRASIL S.A"
2804:431:d000::/37,27699,"TELEFONICA BRASIL S.A"
2804:431:e000::/36,27699,"TELEFONICA BRASIL S.A"
2804:431:f000::/37,27699,"TELEFONICA BRASIL S.A"
2804:43c::/32,262422,"Anderson Gustavo Neves Gomes - ME"
2804:448::/32,262427,"Invista Net Provedor de Acesso Ltda"
2804:44c::/32,262761,"Sinal Br Telecom Ltda"
2804:458::/32,28137,"Vialink Informatica Ltda."
2804:46c::/32,52978,"RG3.Net Comercio e Servicos Ltda."
2804:474::/32,52980,"Netion Solucoes em Internet Via Radio Ltda."
2804:478::/32,22250,"ABRANET- Associacao Brasileira de Internet"
2804:47c::/32,262437,"InNET Ponto Com Ltda."
2804:480:1000::/40,23002,"Telmex do Brasil Ltda."
2804:48c::/32,262699,"FOX Internet Banda Larga"
2804:490:8100::/40,28613,"HUGHES TELECOMUNICACOES DO BRASIL LTDA."
2804:490:8200::/39,28613,"HUGHES TELECOMUNICACOES DO BRASIL LTDA."
2804:490:8400::/40,28613,"HUGHES TELECOMUNICACOES DO BRASIL LTDA."
2804:490:8500::/40,265705,"HUGHES DE COLOMBIA S.A.S."
2804:490:8600::/40,265705,"HUGHES DE COLOMBIA S.A.S."
2804:490:8800::/39,265705,"HUGHES DE COLOMBIA S.A.S."
2804:490:8a00::/40,265705,"HUGHES DE COLOMBIA S.A.S."
2804:494::/32,52987,"Fybernet Teleinformatica Ltda"
2804:498::/32,52988,"Aki Provedor de Internet Ltda"
2804:49c:13::/48,7162,"Universo Online S.A."
2804:49c:31::/48,7162,"Universo Online S.A."
2804:49c:319::/48,15201,"Universo Online S.A."
2804:49c:3101::/48,15201,"Universo Online S.A."
2804:49c:3102::/48,15201,"Universo Online S.A."
2804:49c:3104::/47,15201,"Universo Online S.A."
2804:49c:3106::/48,15201,"Universo Online S.A."
2804:49c:3110::/48,15201,"Universo Online S.A."
2804:49c:3403::/48,7162,"Universo Online S.A."
2804:49c:4203::/48,7162,"Universo Online S.A."
2804:49c:4205::/48,7162,"Universo Online S.A."
2804:49c:4208::/48,7162,"Universo Online S.A."
2804:49c:4210::/48,7162,"Universo Online S.A."
2804:49c:c0f1::/48,7162,"Universo Online S.A."
2804:4a0::/32,52989,"Provedor de Internet Ltda"
2804:4ac::/32,262458,"Tec System Sistemas Eletronicos LTDA"
2804:4b0::/32,262459,"Osirnet Info Telecom Ltda."
2804:4b4::/32,262460,"Ubannet Internet e Informatica Ltda ME"
